backbone,scenario,transfer_mode,val_acc,acc_per_m_trainable_params,trainable_frac,trainable_params
densenet121,corruption,last_block,0.9552556818181818,0.4360150048602349,0.3136723818065042,2190878
densenet121,few_shot,selective_20,0.9495738636363636,0.6309502811555981,0.21547242607528613,1504990
densenet121,fine_tune,last_block,0.9545454545454546,0.4356908301354318,0.3136723818065042,2190878
densenet121,linear_probe,linear_probe,0.9204545454545454,29.933481152993348,0.004402538954953222,30750
inception_v3,corruption,last_block,0.8740118579431013,14.218510784823513,0.002813653731915512,61470
inception_v3,few_shot,selective_20,0.9204545454545454,0.19604703347437746,0.21490647839766655,4695070
inception_v3,fine_tune,full_ft,0.9403409090909091,0.04304203201783734,1.0,21847038
inception_v3,linear_probe,linear_probe,0.8821022727272727,14.350126447491016,0.002813653731915512,61470
resnet50,corruption,last_block,0.9595170454545454,0.06385624191858846,0.6375275133093605,15026206
resnet50,few_shot,selective_20,0.9339488636363636,0.16747237068082566,0.23660805391645526,5576734
resnet50,fine_tune,last_block,0.9602272727272727,0.06390350782674434,0.6375275133093605,15026206
resnet50,linear_probe,linear_probe,0.8913352272727273,14.500329059260245,0.002608031344913439,61470
